country,state,cases,deaths,mortality_rate
us,hawaii,151,0,0.0
us,idaho,261,4,0.01532567049808429
us,idaho,261,4,0.01532567049808429
us,illinois,3491,47,0.013463191062732742
us,illinois,3491,47,0.013463191062732742
us,indiana,1232,31,0.025162337662337664
us,indiana,1232,31,0.025162337662337664
us,iowa,298,3,0.010067114093959731
us,iowa,298,3,0.010067114093959731
us,kansas,261,5,0.019157088122605363
us,kansas,261,5,0.019157088122605363
us,kentucky,394,8,0.02030456852791878
us,kentucky,394,8,0.02030456852791878
us,louisiana,3315,137,0.04132730015082956
us,louisiana,3315,137,0.04132730015082956
us,maine,211,1,0.0047393364928909965
us,maine,211,1,0.0047393364928909965
us,maryland,992,10,0.010080645161290322
us,maryland,992,5,0.005040322580645161
us,massachusetts,4257,44,0.0103359173126615
us,massachusetts,4257,44,0.0103359173126615
us,michigan,4650,111,0.023870967741935485
us,michigan,4650,111,0.023870967741935485
us,minnesota,441,5,0.011337868480725623
us,minnesota,441,5,0.011337868480725623
us,mississippi,663,13,0.0196078431372549
us,mississippi,663,13,0.0196078431372549
us,missouri,838,10,0.011933174224343677
us,missouri,838,10,0.011933174224343677
us,montana,129,1,0.007751937984496123
us,montana,129,1,0.007751937984496123
us,nebraska,96,2,0.02083333333333333
us,nebraska,96,2,0.02083333333333333
us,nevada,621,14,0.02254428341384863
us,nevada,621,14,0.02254428341384863
us,new hampshire,214,2,0.009345794392523364
us,new hampshire,214,2,0.009345794392523364
us,new jersey,11124,140,0.0125854009349155
us,new jersey,11124,140,0.0125854009349155
us,new mexico,208,2,0.009615384615384616
us,new mexico,208,2,0.009615384615384616
us,new york,53455,883,0.016518567018987934
us,new york,53393,883,0.016537748393984232
us,north carolina,1022,4,0.003913894324853229
us,north carolina,1022,4,0.003913894324853229
us,north dakota,83,1,0.012048192771084338
us,north dakota,83,1,0.012048192771084338
us,northern mariana islands,2,0,0.0
us,ohio,1406,25,0.017780938833570414
us,ohio,1406,25,0.017780938833570414
us,oklahoma,377,15,0.03978779840848806
us,oklahoma,377,15,0.03978779840848806
us,oregon,479,13,0.027139874739039668
us,oregon,479,13,0.027139874739039668
us,pennsylvania,2751,34,0.012359142130134495
us,pennsylvania,2751,34,0.012359142130134495
us,puerto rico,100,3,0.03
us,puerto rico,100,3,0.03
us,rhode island,239,2,0.008368200836820083
us,rhode island,239,2,0.008368200836820083
us,south carolina,660,15,0.022727272727272728
us,south carolina,660,15,0.022727272727272728
us,south dakota,68,1,0.014705882352941175
us,south dakota,68,1,0.014705882352941175
us,tennessee,1512,7,0.0046296296296296285
us,tennessee,1512,7,0.0046296296296296285
us,texas,2329,30,0.012881064834693002
us,texas,2329,30,0.012881064834693002
us,total:,123776,2229,0.018008337642192347
us,united states virgin islands,21,0,0.0
us,united states virgin islands,21,0,0.0
us,utah,602,2,0.003322259136212625
us,utah,602,2,0.003322259136212625
us,vermont,211,12,0.05687203791469194
us,vermont,211,12,0.05687203791469194
us,virginia,739,17,0.023004059539918808
us,virginia,739,17,0.023004059539918808
us,washington,4310,189,0.04385150812064965
us,washington,4310,189,0.04385150812064965
us,west virginia,113,1,0.008849557522123894
us,west virginia,113,1,0.008849557522123894
us,wisconsin,989,15,0.015166835187057632
us,wisconsin,989,15,0.015166835187057632
us,wuhan repatriated,3,0,0.0
us,wyoming,84,0,0.0
us,wyoming,84,0,0.0
uzbekistan,,104,2,0.019230769230769232
venezuela,,119,2,0.01680672268907563
vietnam,,174,0,0.0
west bank and gaza,,98,1,0.010204081632653059
zambia,,28,0,0.0
zimbabwe,,7,1,0.14285714285714285
